id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,boiler,bridgeName,bypass,chilled,cmd,co2,condenser,connRef,cooling,coolingTower,count,cur,curErr,curStatus,curVal,damper,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,gas,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,johnson,kind,lastSynced,lastTagged,leaving,low,mixed,mode,navName,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pump,quantityID,reliability,return,reversing,roomRef,run,scheduleOcc,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:25beec57-61beba1a Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-020.HC-SF-C,✓,"",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3006677,"","",JCL-NAE23/BACnet IP1.FAC-020.HC-SF-C,"","","","",✓,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",",","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"",✓,"",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T10:20:43-07:00 Los_Angeles,"","",150,2020-01-20T20:16:48-08:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T20:25:21.529-07:00 Los_Angeles,"","","","","",Discharge Fan Run Cmd,"",BO3005774,"","","","","","",✓,"","","","","","","","",✓,"","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"","",JCL-NAE23/BACnet IP1.FAC-020.HC-SF-C.Trend1,Los_Angeles,"","","","","","","",9010.ZN-222.HC-SF-C,"",2020-05-11T11:07:41.557Z UTC
@p:ubcv:r:25beec53-e047b35f Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-004.PHWS-T,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3006980,"","",JCL-NAE23/BACnet IP1.FAC-004.PHWS-T,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-03-07T15:30:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [3] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",6257,2020-01-24T04:10:00-08:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:14.239-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-004.PHWS-T,✓,AI3005901,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-004.PHWS-T.Trend1,Los_Angeles,_,"","","","","","",9010.HPS.PHWS-T,"",2020-04-09T19:15:05.388Z UTC
@p:ubcv:r:25f3a81c-95b32403 Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-006.ZN-T1,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3007400,"","",JCL-NAE23/BACnet IP1.FAC-006.ZN-T1,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T20:20:00-07:00 Los_Angeles,"","",9899,2020-03-04T07:50:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T20:25:21.71-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-006.ZN-T1,✓,AI3007335,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-006.ZN-T1.Trend1,Los_Angeles,°C,"","","","","","",9010.RTU-02.ZN-T1,"",2020-05-11T11:07:41.225Z UTC
@p:ubcv:r:224ec3e9-69124df6 Swing Space Unsorted Points JCL-NAE23/Programming.Data Share.OA-T (deg C),"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3004287,"",✓,JCL-NAE23/Programming.Data Share.OA-T (deg C),"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",73672,2018-03-28T02:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T20:25:21.705-07:00 Los_Angeles,2018-07-30T13:54:04.892-07:00 Los_Angeles,"","","","",JCL-NAE23/Programming.Data Share.OA-T (deg C),✓,AV3004286,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/Programming.Data Share.OA-T (deg C).Trend1,Los_Angeles,°C,"","","","","","",OA-T (deg C),"",2020-05-11T11:07:41.397Z UTC
@p:ubcv:r:25f3a81c-d7e255e2 Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-010.Parameters.EFFHTG-SP1,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3007441,"","",JCL-NAE23/BACnet IP1.FAC-010.Parameters.EFFHTG-SP1,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T20:20:00-07:00 Los_Angeles,"","",9729,2020-03-04T20:10:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T20:25:21.713-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-010.Parameters.EFFHTG-SP1,✓,AV3006523,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-010.Parameters.EFFHTG-SP1.Trend1,Los_Angeles,°C,"","","","","","",9010.ZN-305.EFFHTG-SP1,"",2020-05-11T11:07:41.36Z UTC
@p:ubcv:r:206816df-5b395d2a Swing Space Rm 121 Zone JCL-NAE23/N2-1.Lecture theater 121.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3004312,"",✓,JCL-NAE23/N2-1.Lecture theater 121.Parameters.EFFCLG-SP,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),✓,"","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:224eba6c-25997113 Swing Space Rm 121 Zone,"","","",@p:ubcv:r:2169862d-ff4cb82b Swing Space Floor 1,"","",✓,"","","",2020-02-26T08:00:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [251] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",100470,2017-03-23T23:00:00-07:00 Los_Angeles,fault,"","","",✓,✓,Number,2020-05-11T00:31:14.115-07:00 Los_Angeles,2018-12-07T09:45:28.882-08:00 Los_Angeles,"","","","",Zone Temp Effective Cooling Sp,"",AO3004244,"","","","","","",✓,"","","","","","","",@p:ubcv:r:21698799-171a9f01 Swing Space Rm 121,"","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"",✓,"","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE23/N2-1.Lecture theater 121.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","","","",EFFCLG-SP,✓,2020-04-14T16:50:02.72Z UTC
@p:ubcv:r:25beec56-5b2db2ee Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-022.TF2-S,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3006612,"","",JCL-NAE23/BACnet IP1.FAC-022.TF2-S,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",",","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T10:18:19-07:00 Los_Angeles,"","",232,2020-01-20T20:16:48-08:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T20:25:21.437-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-022.TF2-S,✓,BI3005743,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-022.TF2-S.Trend1,Los_Angeles,"","","","","","","",9010.ZN-107.TF2-S,"",2020-05-11T11:07:41.462Z UTC
@p:ubcv:r:224ec3e9-c7d5d6f0 Swing Space RTU-1 JCL-NAE23/N2-1.Roof top unit 1.Zone temperature,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3004421,"",✓,JCL-NAE23/N2-1.Roof top unit 1.Zone temperature,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:224eba6c-f125f6c5 Swing Space RTU-1,"","","",@p:ubcv:r:224e8dea-c46b211a Swing Space Air Systems,"","",✓,"","","",2020-01-13T12:07:15-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [34] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",234869,2018-03-28T13:02:35-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:14.053-07:00 Los_Angeles,2018-07-30T13:54:04.929-07:00 Los_Angeles,"","","","",JCL-NAE23/N2-1.Roof top unit 1.Zone temperature,✓,AI3004420,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","","",Los_Angeles,_,"","","","","","","","",2020-04-09T19:15:05.409Z UTC
@p:ubcv:r:25d55599-da78b5df Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-024.EF05 06-C,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3007302,"","",JCL-NAE23/BACnet IP1.FAC-024.EF05 06-C,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",",","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T10:20:43-07:00 Los_Angeles,"","",98,2020-02-10T16:03:04-08:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T20:25:21.538-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-024.EF05 06-C,✓,BO3007299,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-024.EF05 06-C.Trend1,Los_Angeles,"","","","","","","",9010.ZN-122.EF05/06-C,"",2020-05-11T11:07:41.578Z UTC
@p:ubcv:r:224ec3e9-27a0968e Swing Space Rm 400 RAD-400 JCL-NAE23/N2-1.RAD HEATER 40029.CLG-SP,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3000584,"",✓,JCL-NAE23/N2-1.RAD HEATER 40029.CLG-SP,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:224eba6c-a49b88f2 Swing Space Rm 400 RAD-400,"","","",@p:ubcv:r:224e8dea-5f7e1091 Swing Space Floor 4,"","",✓,"","","",2020-01-28T12:40:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [172] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",96004,2018-03-27T14:30:00-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T05:22:39.958-07:00 Los_Angeles,2018-12-07T09:45:28.881-08:00 Los_Angeles,"","","","",Cooling Sp,"",AO3000583,"","","","","","",✓,"","","","","","","",@p:ubcv:r:224fe266-a8209416 Swing Space Rm 400,"","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"",✓,"","","",@p:ubcv:r:25fd6232-50ab9bda .+\.CLG-SP,"",✓,"",Los_Angeles,°C,"","","","","","",CLG-SP,✓,2020-04-14T16:50:00.052Z UTC
@p:ubcv:r:25beec57-263ccb1b Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-010.ZN1-OCC1-S,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3006456,"","",JCL-NAE23/BACnet IP1.FAC-010.ZN1-OCC1-S,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",",","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T10:18:19-07:00 Los_Angeles,"","",916,2020-01-20T20:16:48-08:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T20:25:21.614-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-010.ZN1-OCC1-S,✓,BV3005684,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-010.ZN1-OCC1-S.Trend1,Los_Angeles,"","","","","","","",9010.ZN-305.ZN1-OCC1-S,"",2020-05-11T11:07:41.593Z UTC
@p:ubcv:r:224ec3e9-43edcfa1 Swing Space Rm 121 Zone JCL-NAE23/N2-1.Lecture theater 121.PLENUM-T,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3004267,"",✓,JCL-NAE23/N2-1.Lecture theater 121.PLENUM-T,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:224eba6c-25997113 Swing Space Rm 121 Zone,"","","",@p:ubcv:r:2169862d-ff4cb82b Swing Space Floor 1,"","",✓,"","","",2020-02-26T08:00:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [29] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",66456,2018-03-28T02:30:00-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:14.116-07:00 Los_Angeles,2018-07-30T13:54:04.933-07:00 Los_Angeles,"","","","",JCL-NAE23/N2-1.Lecture theater 121.PLENUM-T,✓,AI3004215,"","","","","","",✓,"","","","","","","",@p:ubcv:r:21698799-171a9f01 Swing Space Rm 121,"","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/N2-1.Lecture theater 121.PLENUM-T.Trend1,Los_Angeles,_,"","","","","","",PLENUM-T,"",2020-04-09T19:15:05.416Z UTC
@p:ubcv:r:25beec56-cef15cff Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-022.TF1-S,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3006604,"","",JCL-NAE23/BACnet IP1.FAC-022.TF1-S,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",",","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T10:18:19-07:00 Los_Angeles,"","",98,2020-01-20T20:16:48-08:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T20:25:21.457-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-022.TF1-S,✓,BI3005736,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-022.TF1-S.Trend1,Los_Angeles,"","","","","","","",9010.ZN-105.TF1-S,"",2020-05-11T11:07:41.461Z UTC
@p:ubcv:r:25beec54-38def1b7 Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-021.ZN2-T,✓,"",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3006533,"","",JCL-NAE23/BACnet IP1.FAC-021.ZN2-T,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T20:20:00-07:00 Los_Angeles,"","",15677,2020-01-24T04:10:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T20:25:21.718-07:00 Los_Angeles,"","","","","",Zone Temp,"",AI3005711,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE23/BACnet IP1.FAC-021.ZN2-T.Trend1,Los_Angeles,°C,"","","","","","",9010.ZN-108.ZN2-T,✓,2020-05-11T11:07:41.295Z UTC
@p:ubcv:r:25f3a81c-b3610860 Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-008.Parameters.EFFHTG-SP1,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3007453,"","",JCL-NAE23/BACnet IP1.FAC-008.Parameters.EFFHTG-SP1,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T20:20:00-07:00 Los_Angeles,"","",9729,2020-03-04T20:10:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T20:25:21.719-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-008.Parameters.EFFHTG-SP1,✓,AV3006452,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-008.Parameters.EFFHTG-SP1.Trend1,Los_Angeles,°C,"","","","","","",9010.ZN-405.EFFHTG-SP1,"",2020-05-11T11:07:41.348Z UTC
@p:ubcv:r:25beec57-cfb37e19 Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-020.EF11 12-C,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3006690,"","",JCL-NAE23/BACnet IP1.FAC-020.EF11 12-C,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",",","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-02-11T09:01:20-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [45] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",6,2020-01-20T20:16:48-08:00 Los_Angeles,fault,"","","",✓,"",Bool,2020-05-11T00:31:14.081-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-020.EF11 12-C,✓,BO3005784,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-020.EF11 12-C.Trend1,Los_Angeles,"","","","","","","",9010.ZN-222.EF07/08-C,"",2020-04-08T18:50:24.692Z UTC
@p:ubcv:r:25beec57-a8b17d90 Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-009.HTG1-C,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3006902,"","",JCL-NAE23/BACnet IP1.FAC-009.HTG1-C,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","Close,Open","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-03-06T10:58:51-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [13] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",275,2020-01-20T20:16:48-08:00 Los_Angeles,fault,"","","",✓,"",Bool,2020-05-11T00:31:14.162-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-009.HTG1-C,✓,BO3005872,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-009.HTG1-C.Trend1,Los_Angeles,"","","","","","","",9010.ZN-306.HTG1-C,"",2020-04-08T18:50:16.993Z UTC
@p:ubcv:r:25beec56-9412f01e Swing Space Unsorted Points JCL-NAE23/Programming.Lecture theater 122.Number of devices,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3005013,"","",JCL-NAE23/Programming.Lecture theater 122.Number of devices,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T20:23:19-07:00 Los_Angeles,"","",7073,2020-01-24T19:34:16-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T20:25:21.701-07:00 Los_Angeles,"","","","","",JCL-NAE23/Programming.Lecture theater 122.Number of devices,✓,AV3004961,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/Programming.Lecture theater 122.Number of devices.Trend1,Los_Angeles,_,"","","","","","",9010.ZN-122.NODEVICES (WiFi),"",2020-05-11T11:07:41.399Z UTC
@p:ubcv:r:25f3a81c-646a0860 Swing Space Unsorted Points JCL-NAE23/BACnet IP1.FAC-007.Parameters.EFFCLG-SP2,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3007450,"","",JCL-NAE23/BACnet IP1.FAC-007.Parameters.EFFCLG-SP2,"","","","","","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22a9cd36-df9e2c64 Swing Space Unsorted Points,"","","",@p:ubcv:r:22a9cd36-89ea798f Swing Space Unsorted Points,"","",✓,"","","",2020-05-12T20:20:00-07:00 Los_Angeles,"","",9729,2020-03-04T20:10:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T20:25:21.726-07:00 Los_Angeles,"","","","","",JCL-NAE23/BACnet IP1.FAC-007.Parameters.EFFCLG-SP2,✓,AV3006879,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"","","","","","","","",JCL-NAE23/BACnet IP1.FAC-007.Parameters.EFFCLG-SP2.Trend1,Los_Angeles,°C,"","","","","","",9010.ZN-408.EFFCLG-SP2,"",2020-05-11T11:07:41.34Z UTC
@p:ubcv:r:224ec3e9-49d3cae8 Swing Space Rm 220 RAD-202 JCL-NAE23/N2-1.RAD HEATER20221.UNOCC-CLG-SP,"","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),"",TL3000548,"",✓,JCL-NAE23/N2-1.RAD HEATER20221.UNOCC-CLG-SP,"","","",✓,"","","",@p:ubcv:r:1fcb4c9c-a9766685 Swing Space (NAE-23),✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:224eba6c-9aa5b0fc Swing Space Rm 220 RAD-202,"","","",@p:ubcv:r:224e8dea-cf102c8c Swing Space Floor 2,"","",✓,"","","",2020-02-26T08:10:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [175] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",100145,2018-03-27T14:30:00-07:00 Los_Angeles,fault,"","","",✓,✓,Number,2020-05-11T05:22:40.017-07:00 Los_Angeles,2018-12-07T09:45:28.908-08:00 Los_Angeles,"","","","",Zone Temp Unoccupied Cooling Sp,"",AO3000547,"","","","","","",✓,"","","","","","","",@p:ubcv:r:224fdfd4-baf97f61 Swing Space Rm 220,"","","","",@p:ubcv:r:2062def3-f3a31d62 Swing Space,"",✓,"","","",@p:ubcv:r:23e65d3d-f77bd3a9 .+(\.|-| )UNOCC-CLG-SP,"",✓,JCL-NAE23/N2-1.RAD HEATER20221.UNOCC-CLG-SP.Trend1,Los_Angeles,°C,"","","",✓,"","",UNOCC-CLG-SP,✓,2020-04-14T16:50:02.225Z UTC
