id,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,chilled,cmd,co2,connRef,cooling,coolingTower,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,dupOld,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,filter,flow,gas,groupRef,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,orchSchedMV,outside,point,pointType,power,preFilter,pressur,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,temp,temporary,tlName,toTag,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:25f78fa2-9f3d199c Orchard Commons Unsorted Points JCL-NAE55/FCB-01.FEC-007.CLG-C,"","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"",TL3003588,"","",JCL-NAE55/FCB-01.FEC-007.CLG-C,"","","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-04-14T12:55:50-07:00 Los_Angeles,"","","",35,2020-03-13T10:48:30-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:47:41.119-07:00 Los_Angeles,"","","","","","",JCL-NAE55/FCB-01.FEC-007.CLG-C,✓,BO3002915,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE55/FCB-01.FEC-007.CLG-C.Trend1,"",Los_Angeles,"","","","","","","","","",2020-04-08T18:55:01.314Z UTC
@p:ubcv:r:238b4bab-edc6b190 Orchard Commons Unsorted Points JCL-NAE54/FCB-02.FEC-040.OAD-O,✓,"","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"",TL3008013,"",✓,JCL-NAE54/FCB-02.FEC-040.OAD-O,"","",✓,"",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"","","","","","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",76166,2018-11-22T15:50:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:46:25.301-07:00 Los_Angeles,2018-12-07T09:45:31.171-08:00 Los_Angeles,"","","","","",Outside Air Damper Cmd,"",AO3006147,"","","","","",✓,✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","",@p:ubcv:r:23e65d3d-0cd986e0 .+(\.|-| )OAD-O,"","",JCL-NAE54/FCB-02.FEC-040.OAD-O.Trend1,"",Los_Angeles,%,"","","","","","",FC-411.OAD-O,"",2020-04-14T16:50:02.209Z UTC
@p:ubcv:r:238b4b67-419261b7 Orchard Commons Unsorted Points JCL-NAE55/FCB-01.FEC-031.CLG1-O,"","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"",TL3003960,"",✓,JCL-NAE55/FCB-01.FEC-031.CLG1-O,"","","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25319,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:47:41.687-07:00 Los_Angeles,2018-11-25T13:45:23.304-08:00 Los_Angeles,"","","","","",JCL-NAE55/FCB-01.FEC-031.CLG1-O,✓,AO3003225,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE55/FCB-01.FEC-031.CLG1-O.Trend1,"",Los_Angeles,_,"","","","","","",KHRV-1.CLG-O,"",2020-04-09T19:15:20.361Z UTC
@p:ubcv:r:238b4bab-0d837a88 Orchard Commons Unsorted Points JCL-NAE54/FCB-02.FEC-027.CLG-O,"","","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"",TL3007766,"",✓,JCL-NAE54/FCB-02.FEC-027.CLG-O,"",✓,✓,"",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),✓,"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",50529,2018-11-23T03:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:46:25.305-07:00 Los_Angeles,2018-12-07T09:45:31.806-08:00 Los_Angeles,"","","","","",Cooling Valve Cmd,"",AV3005950,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE54/FCB-02.FEC-027.CLG-O.Trend1,"",Los_Angeles,%,"",✓,"",✓,"","",FC-316.CLG-DMD,"",2020-04-09T19:02:16.229Z UTC
@p:ubcv:r:238b4b68-0fc6cf58 Orchard Commons Unsorted Points JCL-NAE55/FCB-01.VND-036.AI-8,✓,"","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"",TL3004345,"",✓,JCL-NAE55/FCB-01.VND-036.AI-8,"","","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","",inH₂O => Pa,2020-05-12T15:45:00-07:00 Los_Angeles,"","","",148698,2018-11-23T11:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:47:42.099-07:00 Los_Angeles,2018-12-07T16:48:29.115-08:00 Los_Angeles,"","","","","",Discharge Air Pressure,"",AI3003463,"","","","","","",✓,"","","","",✓,"","","","","",✓,@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","",@p:ubcv:r:23e65d3d-28894c53 JCL-NAE(54|55).+\.AI-8,"","",JCL-NAE55/FCB-01.VND-036.AI-8.Trend1,"",Los_Angeles,Pa,"","","","","","",HRV-2.SUPPLYDUCT_STATIC_PRES_SdP,"",2020-04-27T19:43:47.665Z UTC
@p:ubcv:r:238b4bf0-8acd3f6e Orchard Commons Unsorted Points JCL-NAE53/FCB-01.VND-035.Volume Total,"","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"",TL3004274,"",✓,JCL-NAE53/FCB-01.VND-035.Volume Total,"","","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",50941,2018-11-22T03:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:51:08.318-07:00 Los_Angeles,2018-11-25T13:45:23.656-08:00 Los_Angeles,"","","","","",JCL-NAE53/FCB-01.VND-035.Volume Total,✓,AV3003336,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE53/FCB-01.VND-035.Volume Total.Trend1,"",Los_Angeles,L,"","","","","","",Energy Meter 2 HP1-CHW.Volume Total,"",2020-05-01T11:12:53.957Z UTC
@p:ubcv:r:238b4b68-0a04ad0a Orchard Commons Unsorted Points JCL-NAE55/FCB-01.VND-036.BI-101,"","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"",TL3004354,"",✓,JCL-NAE55/FCB-01.VND-036.BI-101,"","","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:00:11-07:00 Los_Angeles,"","","",1264,2018-11-19T11:42:27-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:47:41.408-07:00 Los_Angeles,2018-11-25T13:45:23.628-08:00 Los_Angeles,"","","","","",JCL-NAE55/FCB-01.VND-036.BI-101,✓,BI3003472,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE55/FCB-01.VND-036.BI-101.Trend1,"",Los_Angeles,"","","","","","","",HRV-2.SUPPLY_MOTOR_STATUS_ScS,"",2020-04-08T18:50:14.382Z UTC
@p:ubcv:r:22fe3ff2-a9c3be27 Orchard Commons Unsorted Points JCL-NAE54/FCB-02.FEC-039.EFFHTG-SP,✓,"","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"",TL3007975,"",✓,JCL-NAE54/FCB-02.FEC-039.EFFHTG-SP,"","","","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"","","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","",@p:ubcv:r:22fe3fc3-ff997264 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22fe3fc3-6cd24fc4 Orchard Commons Unsorted Points,✓,"",✓,"","","",2020-05-12T11:30:02-07:00 Los_Angeles,"","","",33139,2018-08-08T06:00:12-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:46:25.307-07:00 Los_Angeles,2018-12-07T09:45:30.201-08:00 Los_Angeles,"","","","","",Zone Temp Effective Heating Sp,"",AV3006116,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"",✓,"","","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,✓,"",JCL-NAE54/FCB-02.FEC-039.EFFHTG-SP.Trend1,"",Los_Angeles,°C,"","","","","","",FC-410.EFFHTG-SP,✓,2020-04-09T19:02:16.23Z UTC
@p:ubcv:r:22fdfb5c-83385835 Orchard Commons Unsorted Points JCL-NAE54/FCB-01.FEC-004.ZN-SP,✓,"","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"",TL3006505,"",✓,JCL-NAE54/FCB-01.FEC-004.ZN-SP,"","","","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"","","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-04-14T13:40:52-07:00 Los_Angeles,"","","",38,2018-09-14T09:03:24-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:46:24.769-07:00 Los_Angeles,2018-12-07T09:45:29.302-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3004844,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"",✓,"","","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE54/FCB-01.FEC-004.ZN-SP.Trend1,"",Los_Angeles,°C,"","","","","","",FC-101.ZN-SP,✓,2020-04-09T19:02:16.231Z UTC
@p:ubcv:r:238b4b68-206285eb Orchard Commons Unsorted Points JCL-NAE55/FCB-01.VND-037.BI-57,"","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"",TL3004166,"",✓,JCL-NAE55/FCB-01.VND-037.BI-57,"","","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Inactive,Active","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-04-15T21:18:00-07:00 Los_Angeles,"","","",1395,2018-11-22T07:45:16-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:47:41.502-07:00 Los_Angeles,2018-11-25T13:45:23.82-08:00 Los_Angeles,"","","","","",JCL-NAE55/FCB-01.VND-037.BI-57,✓,BI3003350,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE55/FCB-01.VND-037.BI-57.Trend1,"",Los_Angeles,"","","","","","","",KHRV-1.Hood 166 Alarm,"",2020-04-08T18:50:28Z UTC
@p:ubcv:r:238b4bf0-53da6ff5 Orchard Commons Unsorted Points JCL-NAE53/FCB-01.FEC-025.DHS-T9-10,"","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"",TL3004172,"",✓,JCL-NAE53/FCB-01.FEC-025.DHS-T9-10,"","","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",50515,2018-11-23T03:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:51:08.321-07:00 Los_Angeles,2018-11-25T13:45:23.812-08:00 Los_Angeles,"","","","","",JCL-NAE53/FCB-01.FEC-025.DHS-T9-10,✓,AI3003249,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE53/FCB-01.FEC-025.DHS-T9-10.Trend1,"",Los_Angeles,°C,"","","","","","",HX-9-11.DHS-T9-10,"",2020-05-01T11:12:53.651Z UTC
@p:ubcv:r:238b4b68-d2142fc5 Orchard Commons Unsorted Points JCL-NAE55/FCB-01.VND-035.AO-16,✓,"","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"",TL3004330,"",✓,JCL-NAE55/FCB-01.VND-035.AO-16,"","",✓,"",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"",✓,"","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",50205,2018-11-23T03:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:47:42.034-07:00 Los_Angeles,2018-12-07T09:45:31.337-08:00 Los_Angeles,"","","","","",Return Fan Speed Cmd,"",AO3003448,"","","","","","",✓,"","","","","","","",✓,"","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","",✓,"","","",@p:ubcv:r:23e65d3d-8643b2cb JCL-NAE(54|55).+\.AO-16,"","",JCL-NAE55/FCB-01.VND-035.AO-16.Trend1,"",Los_Angeles,%,"","","","","","",HRV-1.ENTH_WHEEL_SIGNAL_EES,"",2020-04-09T19:02:17.159Z UTC
@p:ubcv:r:238b4bf0-5001ed70 Orchard Commons Unsorted Points JCL-NAE53/FCB-02.VND-033.Volume Rate,"","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"",TL3004582,"",✓,JCL-NAE53/FCB-02.VND-033.Volume Rate,"","","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",50515,2018-11-23T03:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:51:08.322-07:00 Los_Angeles,2018-11-25T13:45:23.568-08:00 Los_Angeles,"","","","","",JCL-NAE53/FCB-02.VND-033.Volume Rate,✓,AI3003591,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE53/FCB-02.VND-033.Volume Rate.Trend1,"",Los_Angeles,L/s,"","","","","","","Energy Meter 12 HRV-3,4 HW.Volume Rate","",2020-05-01T11:12:53.773Z UTC
@p:ubcv:r:24687d9e-97577346 Orchard Commons Unsorted Points JCL-NAE53/FCB-01.FEC-023.5570 DHW DHWV01-FB,"","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"",TL3018641,"",✓,JCL-NAE53/FCB-01.FEC-023.5570 DHW DHWV01-FB,"","","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T14:07:33-07:00 Los_Angeles,"","","",21787,2019-04-18T01:37:21-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:51:08.243-07:00 Los_Angeles,"","","","","","",JCL-NAE53/FCB-01.FEC-023.5570 DHW DHWV01-FB,✓,AI3018640,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE53/FCB-01.FEC-023.5570 DHW DHWV01-FB.Trend1,"",Los_Angeles,_,"","","","","","",5570.DHW.DHWV01-FB,"",2020-05-01T11:12:53.626Z UTC
@p:ubcv:r:22fe400a-bf6e4351 Orchard Commons Unsorted Points JCL-NAE54/FCB-01.FEC-031.DA-T,✓,"","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"",TL3006952,"",✓,JCL-NAE54/FCB-01.FEC-031.DA-T,"","","","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22fe3fc3-ff997264 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22fe3fc3-6cd24fc4 Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",60682,2018-08-08T05:15:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:46:25.323-07:00 Los_Angeles,2018-12-07T09:45:30.009-08:00 Los_Angeles,"","","","","",Discharge Air Temp,"",AI3005226,"","","","","","",✓,"","","","","","","","","","",✓,@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"",JCL-NAE54/FCB-01.FEC-031.DA-T.Trend1,"",Los_Angeles,°C,"","","","","","",FC-301.DA-T,"",2020-04-09T19:02:16.235Z UTC
@p:ubcv:r:238b4b68-cd73aa5f Orchard Commons Unsorted Points JCL-NAE55/FCB-01.VND-038.AI-4,"","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"",TL3004187,"",✓,JCL-NAE55/FCB-01.VND-038.AI-4,"","","","",@p:ubcv:r:21e6bcc5-271b8264 OCOM (NAE-55),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25319,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:47:41.692-07:00 Los_Angeles,2018-11-25T13:45:23.815-08:00 Los_Angeles,"","","","","",JCL-NAE55/FCB-01.VND-038.AI-4,✓,AI3003370,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE55/FCB-01.VND-038.AI-4.Trend1,"",Los_Angeles,cfm,"","","","","","","KHRV-2.H 30,31,79,271 TotalHoodCF","",2020-04-09T19:02:17.16Z UTC
@p:ubcv:r:22fe3ff1-4a292ad3 Orchard Commons Unsorted Points JCL-NAE54/FCB-01.VMA-025.EFFCLG-SP,✓,"","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"",TL3006860,"",✓,JCL-NAE54/FCB-01.VMA-025.EFFCLG-SP,"","","","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),✓,"","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","",@p:ubcv:r:22fe3fc3-ff997264 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22fe3fc3-6cd24fc4 Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T11:30:05-07:00 Los_Angeles,"","","",905,2018-08-28T12:26:16-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:46:25.326-07:00 Los_Angeles,2018-12-07T09:45:30.127-08:00 Los_Angeles,"","","","","",Zone Temp Effective Cooling Sp,"",AV3005147,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"",✓,"","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,✓,"",JCL-NAE54/FCB-01.VMA-025.EFFCLG-SP.Trend1,"",Los_Angeles,°C,"","","","","","",VAV-205.EFFCLG-SP,✓,2020-04-09T19:02:16.236Z UTC
@p:ubcv:r:238b4bf0-f20de628 Orchard Commons Unsorted Points JCL-NAE53/FCB-01.FEC-024.PHWP28-O,"","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"",TL3004155,"",✓,JCL-NAE53/FCB-01.FEC-024.PHWP28-O,"","","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",50515,2018-11-23T03:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:51:08.324-07:00 Los_Angeles,2018-11-25T13:45:23.817-08:00 Los_Angeles,"","","","","",JCL-NAE53/FCB-01.FEC-024.PHWP28-O,✓,AO3003240,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE53/FCB-01.FEC-024.PHWP28-O.Trend1,"",Los_Angeles,%,"","","","","","",HX-6-8.PHWP28-O,"",2020-05-01T11:12:53.808Z UTC
@p:ubcv:r:238b4bf1-2e60737c Orchard Commons Unsorted Points JCL-NAE53/FCB-01.HP-1 Integration.Open Heat Header Bypass Valve,"","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"",TL3006799,"",✓,JCL-NAE53/FCB-01.HP-1 Integration.Open Heat Header Bypass Valve,"","","","",@p:ubcv:r:21823829-de63eae1 OCOM (NAE-53),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:22f608c9-18fde0c6 Orchard Commons Unsorted Points,"","","","","",@p:ubcv:r:22f608c9-69b4f31b Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",50940,2018-11-22T03:45:00-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:51:08.325-07:00 Los_Angeles,2018-11-25T13:45:23.823-08:00 Los_Angeles,"","","","","",JCL-NAE53/FCB-01.HP-1 Integration.Open Heat Header Bypass Valve,✓,BV3006798,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"","","","","","","","","",JCL-NAE53/FCB-01.HP-1 Integration.Open Heat Header Bypass Valve.Trend1,"",Los_Angeles,"","","","","","","",Open Heat Header Bypass Valve,"",2020-05-01T11:12:54.197Z UTC
@p:ubcv:r:22fe3ff1-feeb3193 Orchard Commons Unsorted Points JCL-NAE54/FCB-01.VMA-026.SAFLOW-SP,✓,"","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"",TL3006879,"",✓,JCL-NAE54/FCB-01.VMA-026.SAFLOW-SP,"","","","",@p:ubcv:r:21e6bc95-31ecd1f0 OCOM (NAE-54),"","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22fe3fc3-ff997264 Orchard Commons Unsorted Points,"","","",✓,"",@p:ubcv:r:22fe3fc3-6cd24fc4 Orchard Commons Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",60707,2018-08-08T05:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:46:25.328-07:00 Los_Angeles,2018-12-07T09:45:30.121-08:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"",AV3005165,"","","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:20a65978-07ca6a0a Orchard Commons,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE54/FCB-01.VMA-026.SAFLOW-SP.Trend1,"",Los_Angeles,L/s,"","","","","","",VAV-206.SAFLOW-SP,"",2020-04-09T19:02:16.237Z UTC
