id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,boiler,bridgeName,bypass,chilled,cmd,co2,condenser,connRef,cool,cooling,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,des,differential,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatRecovery,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mode,navName,nestHW,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,primaryLoop,primarySide,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,slab,smokeDetector,sourceID,sp,speed,sqlConnRef,sqlPoint,sump,tagTableRef,temp,temporary,temporaryOccupancy,testUnits,tlName,toTag,tz,uh,unit,utilityPoint,valve,volume,warmCoomAdjust,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:22c59c15-b804f632 AMS Nest Rm 4406 HP-17 JCL-NAE42/FCB-02.FEC-36.HP17b COMP-S,"","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3004885,"",✓,JCL-NAE42/FCB-02.FEC-36.HP17b COMP-S,"","","","","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:22c59c15-23fc1490 AMS Nest Rm 4406 HP-17,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:55:20-07:00 Los_Angeles,"","","",20908,2018-06-26T10:24:25-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T13:58:44.618-07:00 Los_Angeles,2018-07-30T13:54:08.314-07:00 Los_Angeles,"","","","","",JCL-NAE42/FCB-02.FEC-36.HP17b COMP-S,"",✓,BI3004806,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22c04b18-bde02346 AMS Nest Rm 4406,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE42/FCB-02.FEC-36.HP17b COMP-S.Trend1,"",Los_Angeles,"","","","","","","","","","","",2020-04-08T18:55:03.705Z UTC
@p:ubcv:r:22c43bc4-d3a0deee AMS Nest AHU-12 JCL-NAE43/FCB-01.VENDOR-70.Analog Values.AV-4,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3003951,"",✓,JCL-NAE43/FCB-01.VENDOR-70.Analog Values.AV-4,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c43bc4-e003b552 AMS Nest AHU-12,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-04-03T08:30:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [213] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",30833,2018-06-24T17:00:00-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:26.514-07:00 Los_Angeles,2018-07-30T13:54:06.72-07:00 Los_Angeles,"","","","","",JCL-NAE43/FCB-01.VENDOR-70.Analog Values.AV-4,"",✓,AV3003950,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE43/FCB-01.VENDOR-70.Analog Values.AV-4.Trend1,"",Los_Angeles,"",A,"","","","","","","",New SUB Penthouse.AHU-12 RF2 VFD.CURRENT,"",2020-04-14T22:17:36.45Z UTC
@p:ubcv:r:22c59bf2-0031418d AMS Nest Rm 2114 VAV-2-11 JCL-NAE41/FCB-01.VMA-47.SA-F,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002209,"",✓,JCL-NAE41/FCB-01.VMA-47.SA-F,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59bf2-79ac115d AMS Nest Rm 2114 VAV-2-11,"","","","",✓,"",@p:ubcv:r:22c04b19-adb85333 AMS Nest Floor 2,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:23.547-07:00 Los_Angeles,2019-04-11T16:04:14.098-07:00 Los_Angeles,"","","","","",Discharge Air Flow,"","",AV3000564,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043c-0e4fd888 AMS Nest Rm 2114,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","","","",JCL-NAE41/FCB-01.VMA-47.SA-F.Trend1,"",Los_Angeles,"",L/s,"","","","","","","","","",2020-04-09T19:02:09.93Z UTC
@p:ubcv:r:24edab6a-286b1370 AMS Nest Unsorted Points JCL-NAE43/Schedule.AHU-04 TOD schedule,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),SCH3006870,"","",✓,JCL-NAE43/Schedule.AHU-04 TOD schedule,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","",unknown,"","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",198,2019-08-19T12:10:00-07:00 Los_Angeles,"","","","",✓,"",Number,"","","","","","","",Scheduled Occupancy,"","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","","","",Los_Angeles,"",°C,"","","","","","","","","",2020-03-24T11:11:52.376Z UTC
@p:ubcv:r:22c43bc4-612f5c47 AMS Nest AHU-10 JCL-NAE43/FCB-01.FEC-58.DA-F,"",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3006735,"",✓,JCL-NAE43/FCB-01.FEC-58.DA-F,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c41cb3-603c649f AMS Nest AHU-10,"","","","",✓,"",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:45:00-07:00 Los_Angeles,"","","",64944,2018-06-25T05:00:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:48.823-07:00 Los_Angeles,2018-12-07T09:45:34.609-08:00 Los_Angeles,"","","","","",Discharge Air Flow,"","",AI3006708,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","","","",JCL-NAE43/FCB-01.FEC-58.DA-F.Trend1,"",Los_Angeles,"",L/s,"","","","","","","",DA-F,"",2020-04-30T11:09:52.392Z UTC
@p:ubcv:r:22c59bf3-7dd00065 AMS Nest Rm 3125 VAV-3-12 JCL-NAE41/FCB-02.VMA-15.ZN3301g-T,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3003028,"",✓,JCL-NAE41/FCB-02.VMA-15.ZN3301g-T,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bf3-0ee5e76c AMS Nest Rm 3125 VAV-3-12,"","","","","","",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:23.55-07:00 Los_Angeles,2018-12-07T09:45:35.245-08:00 Los_Angeles,"","","","","",Zone Temp,"","",AI3001028,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043d-78763063 AMS Nest Rm 3125,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"","","",JCL-NAE41/FCB-02.VMA-15.ZN3301g-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","","",✓,2020-04-09T19:02:09.932Z UTC
@p:ubcv:r:260ca756-025ee444 AMS Nest Unsorted Points JCL-NAE43/FCB-02.VENDOR-69.Binary Values.BV-2,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3011005,"","",JCL-NAE43/FCB-02.VENDOR-69.Binary Values.BV-2,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OK,FAULT","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-03-23T10:33:53-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [180] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",1,2020-03-23T10:33:53-07:00 Los_Angeles,fault,"","","",✓,"",Bool,2020-05-11T00:31:26.259-07:00 Los_Angeles,"","","","","","",JCL-NAE43/FCB-02.VENDOR-69.Binary Values.BV-2,"",✓,BV3010649,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE43/FCB-02.VENDOR-69.Binary Values.BV-2.Trend1,"",Los_Angeles,"","","","","","","","","",New SUB Penthouse.AHU-3 EF VFD.FAULT ACT,"",2020-04-08T18:55:33.633Z UTC
@p:ubcv:r:22c59c15-798cf901 AMS Nest Rm 2401d VAV-2-24 JCL-NAE42/FCB-01.VMA-44.DPR-O,"",✓,"","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3002897,"",✓,JCL-NAE42/FCB-01.VMA-44.DPR-O,"","","","",✓,"","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","",✓,"","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59c14-5e807440 AMS Nest Rm 2401d VAV-2-24,"","","","","","",@p:ubcv:r:22c04b19-adb85333 AMS Nest Floor 2,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32644,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:43.745-07:00 Los_Angeles,2019-04-11T16:04:13.653-07:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"","",AO3002896,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22c04b19-d7982f41 AMS Nest Rm 2401d,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","","","",JCL-NAE42/FCB-01.VMA-44.DPR-O.Trend1,"",Los_Angeles,"",%,"","","","","","","","","",2020-04-09T19:02:10.83Z UTC
@p:ubcv:r:226b94b3-8b698bd3 AMS Nest Cooling Plant P-4A JCL-NAE43/FCB-01.FEC-15.P4a-HZ,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3004387,"",✓,JCL-NAE43/FCB-01.FEC-15.P4a-HZ,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22d619cb-469583b6 AMS Nest Cooling Plant P-4A,"","",✓,"","","",@p:ubcv:r:216980c6-65c96bd9 AMS Nest Hydronic Systems,"","","","",✓,"","","",2020-05-12T13:45:00-07:00 Los_Angeles,"","","",71376,2018-04-18T23:15:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:48.825-07:00 Los_Angeles,2018-07-30T13:54:05.088-07:00 Los_Angeles,"","","","","",Pump Speed Feedback,"","",AI3004386,"","","","","","","",✓,"","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","",✓,"","","",@p:ubcv:r:23e65d3d-e2910548 .+(\.|-|_)P\d+[a-z]-HZ,"","","","",JCL-NAE43/FCB-01.FEC-15.P4a-HZ.Trend1,"",Los_Angeles,"",Hz,"","","","","","","",Primary CHW System.P4a-HZ,"",2020-04-30T11:09:51.575Z UTC
@p:ubcv:r:22c59bf5-8e8e797d AMS Nest Unsorted Points JCL-NAE41/FCB-01.VMA-45.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3004377,"",✓,JCL-NAE41/FCB-01.VMA-45.SAFLOW-SP,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","",✓,"",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:23.558-07:00 Los_Angeles,2018-12-07T09:45:35.246-08:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"","",AV3004376,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","","","",JCL-NAE41/FCB-01.VMA-45.SAFLOW-SP.Trend1,"",Los_Angeles,"",L/s,"","","","","","","","","",2020-04-09T19:02:09.937Z UTC
@p:ubcv:r:22c59c14-952d0372 AMS Nest Rm 2401a VAV-2-21 JCL-NAE42/FCB-01.VMA-35.HTG-O,"","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3002510,"",✓,JCL-NAE42/FCB-01.VMA-35.HTG-O,"","","","",✓,"","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59c14-3a75d210 AMS Nest Rm 2401a VAV-2-21,"","","","","","",@p:ubcv:r:22c04b19-adb85333 AMS Nest Floor 2,✓,"",✓,"",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32645,2018-06-25T18:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,"",Number,2020-05-12T13:58:43.759-07:00 Los_Angeles,2018-12-07T09:45:35.509-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"","",AO3000902,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22c04b19-464d0456 AMS Nest Rm 2401a,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","","","",JCL-NAE42/FCB-01.VMA-35.HTG-O.Trend1,"",Los_Angeles,"",%,"",✓,"","",✓,"","","","",2020-04-09T19:02:10.841Z UTC
@p:ubcv:r:22c43bc3-d350306e AMS Nest AHU-06 JCL-NAE43/FCB-01.FEC-36.DA-P,"",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3002246,"",✓,JCL-NAE43/FCB-01.FEC-36.DA-P,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c43bc3-ca2c4dfa AMS Nest AHU-06,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32721,2018-06-24T17:00:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:48.51-07:00 Los_Angeles,2018-12-07T09:45:34.412-08:00 Los_Angeles,"","","","","",Discharge Air Pressure,"","",AI3002245,"","","","","","","",✓,"","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-6b746a04 .+(\.|-| )(S|D)A\d?-P,"","","","",JCL-NAE43/FCB-01.FEC-36.DA-P.Trend1,"",Los_Angeles,"",Pa,"","","","","","","",AHU-06.DA-P,"",2020-04-30T11:09:52.121Z UTC
@p:ubcv:r:22c59c14-ddea5712 AMS Nest Rm 1325 HP-07 JCL-NAE42/FCB-01.FEC-17.ZN1325-T,"",✓,"","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3002666,"",✓,JCL-NAE42/FCB-01.FEC-17.ZN1325-T,"","","","","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59c14-fb8a7077 AMS Nest Rm 1325 HP-07,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32645,2018-06-25T18:00:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:43.762-07:00 Los_Angeles,2018-12-07T09:45:34.795-08:00 Los_Angeles,"","","","","",Zone Temp,"","",AI3000994,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22c04b18-da8e2afb AMS Nest Rm 1325,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"","","",JCL-NAE42/FCB-01.FEC-17.ZN1325-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","","",✓,2020-04-09T19:02:10.843Z UTC
@p:ubcv:r:260ca755-fa2c99cf AMS Nest Unsorted Points P12 JCL-NAE43/FCB-02.FEC-11.P12-S,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3010506,"","",JCL-NAE43/FCB-02.FEC-11.P12-S,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","",",",P12,@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-03-23T10:20:47-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [155] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",1,2020-03-23T10:20:47-07:00 Los_Angeles,fault,"","","",✓,"",Bool,2020-05-11T00:31:14.295-07:00 Los_Angeles,"","","","","","",Run Status,"","",BI3009083,"","","","","","","",✓,"","","","","",✓,"","","","",✓,"","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","","","",JCL-NAE43/FCB-02.FEC-11.P12-S.Trend1,"",Los_Angeles,"","","","","","","","","",Chiller 04 system.P12-S,"",2020-05-12T11:03:27.841Z UTC
@p:ubcv:r:260ca752-648ede62 AMS Nest Unsorted Points JCL-NAE43/FCB-02.VENDOR-05.Volume Rate,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3010790,"","",JCL-NAE43/FCB-02.VENDOR-05.Volume Rate,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-03-25T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [154] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",177,2020-03-23T16:15:00-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:14.766-07:00 Los_Angeles,"","","","","","",JCL-NAE43/FCB-02.VENDOR-05.Volume Rate,"",✓,AI3009226,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE43/FCB-02.VENDOR-05.Volume Rate.Trend1,"",Los_Angeles,"",_,"","","","","","","",New SUB Penthouse.Energy meter 01.Volume Rate,"",2020-04-09T19:15:15.489Z UTC
@p:ubcv:r:22c59bf4-62738168 AMS Nest Rm 3502 VAV-3-18 JCL-NAE41/FCB-02.VMA-21.ZN3309-T,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3003202,"",✓,JCL-NAE41/FCB-02.VMA-21.ZN3309-T,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bf4-7d7a48c6 AMS Nest Rm 3502 VAV-3-18,"","","","","","",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:23.562-07:00 Los_Angeles,2018-12-07T09:45:34.61-08:00 Los_Angeles,"","","","","",Zone Temp,"","",AI3001118,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22c04b18-1a2acb93 AMS Nest Rm 3502,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"","","",JCL-NAE41/FCB-02.VMA-21.ZN3309-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","","",✓,2020-04-09T19:02:09.942Z UTC
@p:ubcv:r:23988abe-79040d89 AMS Nest Unsorted Points JCL-NAE43/FCB-01.FEC-32.Setpoints.EFFDAT-SP,"",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3002137,"",✓,JCL-NAE43/FCB-01.FEC-32.Setpoints.EFFDAT-SP,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"",✓,"","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-05-12T13:35:21-07:00 Los_Angeles,"","","",15968,2018-12-05T07:26:59-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:48.494-07:00 Los_Angeles,2018-12-07T09:45:34.379-08:00 Los_Angeles,"","","","","",Discharge Air Temp Effective Sp,"","",AV3002136,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:23e65d3d-79dbc720 .+(\.|-| )EFFDAT-SP,✓,"","","",JCL-NAE43/FCB-01.FEC-32.Setpoints.EFFDAT-SP.Trend1,"",Los_Angeles,"",°C,"","","","","","","",AHU-04.EFFDAT-SP,"",2020-04-30T11:09:53.005Z UTC
@p:ubcv:r:22c43bc4-8c170d08 AMS Nest Return Fans RF-1 JCL-NAE43/FCB-01.FEC-50.RF1-C,"",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3003089,"",✓,JCL-NAE43/FCB-01.FEC-50.RF1-C,"","","","",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","","Off,On","",@p:ubcv:r:254ca379-f310f8b3 AMS Nest Return Fans RF-1,"",✓,"","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:00:08-07:00 Los_Angeles,"","","",1374,2018-06-20T23:00:13-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T13:58:48.365-07:00 Los_Angeles,2018-12-07T09:45:36.058-08:00 Los_Angeles,"","","","","",Return Fan Enable Cmd,"","",BV3003088,"","","","","","","",✓,"","","","","","","","",✓,"","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-da30c357 .+(\.|-| )RF(\d?)-C,"","","","",JCL-NAE43/FCB-01.FEC-50.RF1-C.Trend1,"",Los_Angeles,"","","","","","","","","",RF-01 through RF-04.RF1-C,"",2020-04-30T11:09:54.974Z UTC
@p:ubcv:r:22c59bf3-8d18e5fd AMS Nest Rm 3108 VAV-3-10 JCL-NAE41/FCB-02.VMA-13.DPR-O,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002979,"",✓,JCL-NAE41/FCB-02.VMA-13.DPR-O,"","","","",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","",✓,"","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59bf3-b4a4288d AMS Nest Rm 3108 VAV-3-10,"","","","","","",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32630,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:23.565-07:00 Los_Angeles,2019-04-11T16:04:13.998-07:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"","",AO3001006,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043e-2022b242 AMS Nest Rm 3108,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","","","",JCL-NAE41/FCB-02.VMA-13.DPR-O.Trend1,"",Los_Angeles,"",%,"","","","","","","","","",2020-04-09T19:02:09.944Z UTC
